id,mode,level,level_name,prompt,tags,intensity,relationship_context,is_hidden,is_adult
classic_l1_001,classic,1,Read the Room,What is the first thing you noticed about the person to your left?,playful|low_stakes|perception,1,all,false,false
classic_l1_002,classic,1,Read the Room,What is a tiny thing that instantly makes someone more likable?,playful|low_stakes,1,all,false,false
classic_l1_003,classic,1,Read the Room,What is your most harmless red flag?,playful|low_stakes|red flags,1,all,false,false
classic_l1_004,classic,1,Read the Room,What is a compliment you secretly love receiving?,playful|low_stakes|love|compliments,1,all,false,false
classic_l1_005,classic,1,Read the Room,What is a hill you will die on that does not matter at all?,playful|low_stakes,1,all,false,false
classic_l1_006,classic,1,Read the Room,What is something you always notice in a room before everyone else does?,playful|low_stakes|perception,1,all,false,false
classic_l1_007,classic,1,Read the Room,What is the most accurate first impression people usually have of you?,playful|low_stakes|first impressions,1,all,false,false
classic_l1_008,classic,1,Read the Room,What is the least accurate first impression people usually have of you?,playful|low_stakes|first impressions,1,all,false,false
classic_l1_009,classic,1,Read the Room,What is a song that immediately changes your mood?,playful|low_stakes|change,1,all,false,false
classic_l1_010,classic,1,Read the Room,What is a restaurant order that tells you a lot about someone?,playful|low_stakes,1,all,false,false
classic_l1_011,classic,1,Read the Room,What is something you are weirdly good at?,playful|low_stakes,1,all,false,false
classic_l1_012,classic,1,Read the Room,What is something you are weirdly bad at?,playful|low_stakes,1,all,false,false
classic_l1_013,classic,1,Read the Room,What is your most irrational pet peeve?,playful|low_stakes,1,all,false,false
classic_l1_014,classic,1,Read the Room,What is a small luxury you will defend forever?,playful|low_stakes,1,all,false,false
classic_l1_015,classic,1,Read the Room,What is a phrase you say too often?,playful|low_stakes,1,all,false,false
classic_l1_016,classic,1,Read the Room,What is the most charming habit a person can have?,playful|low_stakes,1,all,false,false
classic_l1_017,classic,1,Read the Room,What is a green flag you notice quickly?,playful|low_stakes|perception|green flags,1,all,false,false
classic_l1_018,classic,1,Read the Room,What is a social situation you secretly enjoy more than you admit?,playful|low_stakes,1,all,false,false
classic_l1_019,classic,1,Read the Room,What is a social situation you secretly dread?,playful|low_stakes,1,all,false,false
classic_l1_020,classic,1,Read the Room,What is something that makes a house feel like a home?,playful|low_stakes,1,all,false,false
classic_l1_021,classic,1,Read the Room,What is a movie you would happily rewatch anytime?,playful|low_stakes,1,all,false,false
classic_l1_022,classic,1,Read the Room,"What is a book, show, or movie you wish more people understood the way you do?",playful|low_stakes,1,all,false,false
classic_l1_023,classic,1,Read the Room,What is a food opinion that might get you judged?,playful|low_stakes,1,all,false,false
classic_l1_024,classic,1,Read the Room,What is something you loved as a kid that still holds up?,playful|low_stakes|love,1,all,false,false
classic_l1_025,classic,1,Read the Room,What is something you used to hate that you now appreciate?,playful|low_stakes,1,all,false,false
classic_l1_026,classic,1,Read the Room,What is your most specific comfort activity?,playful|low_stakes|comfort,1,all,false,false
classic_l1_027,classic,1,Read the Room,What is a habit that makes someone seem grounded?,playful|low_stakes,1,all,false,false
classic_l1_028,classic,1,Read the Room,What is your ideal low-pressure Saturday?,playful|low_stakes,1,all,false,false
classic_l1_029,classic,1,Read the Room,What is something that can make a bad day 20 percent better?,playful|low_stakes,1,all,false,false
classic_l1_030,classic,1,Read the Room,What is a smell that immediately takes you somewhere?,playful|low_stakes,1,all,false,false
classic_l1_031,classic,1,Read the Room,What is the most underrated form of kindness?,playful|low_stakes,1,all,false,false
classic_l1_032,classic,1,Read the Room,What is something people overcomplicate?,playful|low_stakes,1,all,false,false
classic_l1_033,classic,1,Read the Room,What is something people underappreciate?,playful|low_stakes,1,all,false,false
classic_l1_034,classic,1,Read the Room,What is a small detail that can ruin an otherwise good vibe?,playful|low_stakes,1,all,false,false
classic_l1_035,classic,1,Read the Room,What is a small detail that can save an otherwise average vibe?,playful|low_stakes,1,all,false,false
classic_l1_036,classic,1,Read the Room,What is the best kind of person to sit next to at dinner?,playful|low_stakes,1,all,false,false
classic_l1_037,classic,1,Read the Room,What is the worst kind of person to sit next to at dinner?,playful|low_stakes,1,all,false,false
classic_l1_038,classic,1,Read the Room,What is a topic you could talk about for too long?,playful|low_stakes,1,all,false,false
classic_l1_039,classic,1,Read the Room,What is a topic you pretend to understand better than you do?,playful|low_stakes,1,all,false,false
